name,geometry
NCBS Pond,"POLYGON ((77.579096 13.0712516, 77.5790881 13.0712051, 77.5791098 13.071167, 77.579122 13.071112, 77.5790951 13.0710443, 77.5790682 13.070997, 77.5790065 13.0709699, 77.5789457 13.0709606, 77.5788736 13.0709665, 77.5788345 13.0709877, 77.5788232 13.0710257, 77.5788215 13.0710773, 77.5788015 13.0711256, 77.5787902 13.0711992, 77.5787807 13.071277, 77.5787902 13.0712981, 77.5787894 13.071343, 77.5787746 13.0713684, 77.578765 13.0713827, 77.5787711 13.0714098, 77.5787946 13.0714242, 77.5788536 13.0714174, 77.5789144 13.0714064, 77.578983 13.0714073, 77.5790482 13.07142, 77.5791559 13.071409, 77.5791507 13.071376, 77.5791229 13.0713489, 77.5791098 13.0713015, 77.579096 13.0712516), (77.5788415 13.0712567, 77.5788493 13.0712262, 77.5788727 13.0712093, 77.5789222 13.0711983, 77.5789657 13.0712186, 77.578983 13.0712567, 77.5789804 13.0712871, 77.5789744 13.0713294, 77.5789535 13.071343, 77.5789275 13.0713565, 77.5788814 13.0713591, 77.5788545 13.0713413, 77.5788432 13.0713218, 77.5788397 13.0712905, 77.5788415 13.0712567))"
Vengayyana Lake,"POLYGON ((77.702179 13.0170809, 77.7023506 13.0169973, 77.7025223 13.0170391, 77.7027369 13.0170391, 77.7029514 13.0169973, 77.7030373 13.0169137, 77.703166 13.0169555, 77.7038848 13.0170313, 77.7039117 13.0169502, 77.702651 13.0164955, 77.7025652 13.0164955, 77.7024794 13.0164119, 77.7020931 13.0163283, 77.7020073 13.0162447, 77.7015781 13.0160774, 77.7014923 13.0160774, 77.7010632 13.0158684, 77.7007842 13.0156384, 77.7004838 13.0152621, 77.7003551 13.015053, 77.7000117 13.0146767, 77.6999688 13.0145094, 77.6999044 13.0144467, 77.6997463 13.0144837, 77.6995397 13.0146349, 77.6995182 13.0146976, 77.6994324 13.0146558, 77.699132 13.0146558, 77.6990247 13.0149276, 77.698853 13.0151366, 77.698853 13.0152621, 77.6987672 13.0154293, 77.6986599 13.0155339, 77.6984024 13.0157011, 77.6981878 13.0157429, 77.6980591 13.0158684, 77.6979303 13.0158684, 77.6976728 13.0160356, 77.697587 13.0160356, 77.6974583 13.016161, 77.6969862 13.0162447, 77.6969433 13.0162865, 77.6963854 13.0163283, 77.6963425 13.0163701, 77.6959991 13.0163701, 77.6959562 13.0163283, 77.6958275 13.0163283, 77.6957631 13.016391, 77.6957202 13.0164746, 77.6957202 13.0166001, 77.6959348 13.016851, 77.6959777 13.0169764, 77.6959777 13.01706, 77.6961493 13.0173945, 77.6963639 13.0176454, 77.6963639 13.017729, 77.6964498 13.0177708, 77.6964927 13.0178545, 77.6964927 13.0179381, 77.6966429 13.0181262, 77.6967716 13.018168, 77.6969004 13.0180844, 77.6972008 13.0180008, 77.6975441 13.0176663, 77.6980591 13.0176245, 77.698102 13.0175827, 77.6984024 13.0175827, 77.6984453 13.0175409, 77.699132 13.0175409, 77.6992178 13.0174572, 77.6993036 13.0175827, 77.6993465 13.0175409, 77.7000761 13.0175409, 77.7004194 13.0174154, 77.7005911 13.0174154, 77.700634 13.0173736, 77.7009773 13.0173736, 77.7012348 13.01729, 77.7012777 13.0172482, 77.7014494 13.0172482, 77.7016211 13.0172064, 77.701664 13.0171645, 77.7017927 13.0171645, 77.7018785 13.0170809, 77.7020931 13.0170809, 77.702179 13.0170809), (77.6987672 13.0166837, 77.6987672 13.0166001, 77.6987243 13.0165583, 77.6987672 13.0162238, 77.6989174 13.0160774, 77.6990247 13.0161819, 77.6989818 13.0165583, 77.6990676 13.0167255, 77.6991749 13.01683, 77.6993895 13.01683, 77.6995397 13.0166419, 77.6995397 13.0165164, 77.6994538 13.0163492, 77.6993036 13.0162029, 77.6991534 13.0161819, 77.6991534 13.0160983, 77.6991105 13.0160565, 77.6991749 13.0159938, 77.6993465 13.0159938, 77.6994753 13.0160356, 77.6996255 13.0161819, 77.6997542 13.0164746, 77.6997542 13.0167255, 77.6996684 13.016851, 77.6995611 13.0169555, 77.6994324 13.0169137, 77.6993036 13.0170809, 77.6992178 13.0170391, 77.6990891 13.0170391, 77.6989818 13.0169764, 77.6988959 13.016851, 77.6987672 13.0166837))"
Halasuru lake,"POLYGON ((77.6226139 12.982016, 77.6227025 12.9819297, 77.6227481 12.981718, 77.6227025 12.98159, 77.6224369 12.9814096, 77.6223833 12.9813521, 77.6223994 12.9812842, 77.6213479 12.9804766, 77.6210522 12.9803629, 77.6209161 12.9802099, 77.6208222 12.9799747, 77.6205895 12.9798984, 77.6204789 12.9798048, 77.6204011 12.9797003, 77.6203769 12.9794677, 77.6202485 12.9788292, 77.6202348 12.9786861, 77.620318 12.9783595, 77.6202179 12.978234, 77.6201034 12.9778367, 77.6200604 12.9777949, 77.620046 12.9774617, 77.6199611 12.9774497, 77.6198673 12.9774395, 77.61976 12.9777531, 77.6196742 12.9778786, 77.6196501 12.9779805, 77.6195884 12.9780877, 77.6195305 12.9781967, 77.6194167 12.9783386, 77.6192996 12.9785918, 77.6191298 12.9788249, 77.6188588 12.9792586, 77.6187436 12.9794029, 77.618408 12.9798934, 77.6183009 12.980095, 77.6181428 12.9803229, 77.6180018 12.9805129, 77.6177859 12.9807222, 77.6174572 12.9809161, 77.6171637 12.9809941, 77.6169062 12.9810359, 77.6167886 12.9810585, 77.6165865 12.981112, 77.6163912 12.9811613, 77.6162335 12.9812816, 77.6161408 12.9814539, 77.6158756 12.9817049, 77.6158547 12.9817677, 77.6158547 12.9818513, 77.6158977 12.9821023, 77.6159406 12.9822695, 77.6159766 12.9825087, 77.616023 12.982653, 77.6160934 12.9827667, 77.6161551 12.9828132, 77.6167774 12.9831686, 77.616992 12.9832941, 77.6172924 12.9835032, 77.6175499 12.9837541, 77.6178288 12.9840677, 77.6182151 12.9844859, 77.6183867 12.9846532, 77.618494 12.9847577, 77.6186872 12.9849877, 77.6187515 12.9850504, 77.6192451 12.985615, 77.6193738 12.9858241, 77.6195884 12.9861168, 77.6196869 12.9862729, 77.6197741 12.9863499, 77.6199445 12.9863028, 77.6201765 12.9862257, 77.6202556 12.9861918, 77.6203682 12.9861434, 77.6204527 12.9861944, 77.6203964 12.9862545, 77.6202087 12.9863185, 77.6201993 12.9863721, 77.620242 12.9864376, 77.620342 12.9866416, 77.6200091 12.9868134, 77.6201892 12.9871204, 77.6202217 12.9871521, 77.6202536 12.9871831, 77.6208698 12.9872555, 77.6212815 12.9873169, 77.6217107 12.98736, 77.6219186 12.9873992, 77.6219387 12.9874842, 77.6221546 12.9875051, 77.6221633 12.9872459, 77.6221633 12.9870786, 77.6221418 12.9869741, 77.6221499 12.9867222, 77.622109 12.9865029, 77.6220131 12.9857613, 77.6219702 12.9857195, 77.6215029 12.9858685, 77.6212835 12.9859286, 77.6211682 12.9860227, 77.6210931 12.9859887, 77.6211012 12.9859025, 77.6211682 12.9858789, 77.621997 12.9856228, 77.6219465 12.9848015, 77.6219266 12.984478, 77.6219112 12.9836822, 77.621997 12.9836835, 77.6222062 12.9829804, 77.6224557 12.9821075, 77.6226139 12.982016), (77.6195911 12.9813835, 77.6195589 12.9815142, 77.6193255 12.9816423, 77.6191458 12.9816161, 77.6190037 12.9814253, 77.6190037 12.981292, 77.619114 12.9811565, 77.6193819 12.9811195, 77.6195455 12.9812659, 77.6195911 12.9813835), (77.6180193 12.9819585, 77.6178637 12.9821755, 77.6177672 12.9822277, 77.6173461 12.9822591, 77.6172951 12.9822251, 77.6173246 12.9821023, 77.6176062 12.9819063, 77.6177752 12.9818017, 77.6179093 12.9818017, 77.6180193 12.9818749, 77.6180193 12.9819585), (77.6205352 12.9833019, 77.6204816 12.9832235, 77.620562 12.9830928, 77.6207471 12.9830066, 77.6209069 12.9830215, 77.6209188 12.9831059, 77.6209161 12.9832, 77.6208544 12.9832941, 77.6207337 12.9833359, 77.6205352 12.9833019), (77.6208678 12.9847812, 77.6208168 12.9848204, 77.6207659 12.9848178, 77.6205781 12.9847054, 77.6205674 12.9846322, 77.6206318 12.9846139, 77.6208544 12.984708, 77.6208678 12.9847812), (77.6201731 12.9852987, 77.6200819 12.9852098, 77.6200631 12.9851262, 77.6200953 12.9847499, 77.6201758 12.9846714, 77.6202938 12.9846897, 77.6203126 12.9848178, 77.6203582 12.9850321, 77.6204708 12.985155, 77.6206022 12.9851811, 77.6207632 12.9850713, 77.620849 12.984972, 77.6209348 12.9849851, 77.6209509 12.9851497, 77.6208705 12.9853222, 77.6206183 12.9854451, 77.6204199 12.9854059, 77.6201731 12.9852987), (77.6212406 12.9866395, 77.6213479 12.9867022, 77.6213908 12.9868277, 77.6213479 12.9869113, 77.6211977 12.9870577, 77.6209831 12.9870577, 77.6209067 12.9870655, 77.6208339 12.9870227, 77.6206998 12.9869117, 77.6207042 12.9868277, 77.6207685 12.9866813, 77.6208792 12.9865863, 77.6209724 12.9865363, 77.6211119 12.986582, 77.6212406 12.9866395), (77.6219598 12.9867599, 77.6220752 12.9868592, 77.6220939 12.9869664, 77.6220691 12.9870304, 77.6219384 12.9871611, 77.6218136 12.9871872, 77.6216809 12.9871389, 77.6216111 12.9871075, 77.6215736 12.98705, 77.6215333 12.9870056, 77.6215602 12.9868775, 77.621638 12.9867834, 77.6217265 12.9867181, 77.6218708 12.9867318, 77.6219598 12.9867599))"
Chelekere,"POLYGON ((77.6452692 13.0251885, 77.6451166 13.0254288, 77.6446531 13.026056, 77.6439922 13.027302, 77.6437948 13.0276448, 77.6435888 13.0279375, 77.6435287 13.0280713, 77.6435888 13.0281633, 77.643709 13.0280796, 77.6438978 13.0278622, 77.6439836 13.0276615, 77.6441896 13.0275528, 77.6443527 13.0275194, 77.6448505 13.0273605, 77.6455286 13.0271013, 77.6461466 13.0271682, 77.6461895 13.0265494, 77.6461122 13.0264657, 77.6460093 13.0263905, 77.6458805 13.0259138, 77.6457861 13.0256881, 77.6455575 13.025378, 77.6453631 13.0251628, 77.6452692 13.0251885), (77.6453913 13.0256128, 77.6456659 13.0257131, 77.6456316 13.0258971, 77.6456488 13.0260309, 77.6458033 13.02624, 77.6455801 13.026332, 77.6452539 13.0261814, 77.6451939 13.0260644, 77.6452196 13.0258888, 77.6453913 13.0256128), (77.644593 13.0266414, 77.6451252 13.026934, 77.6450737 13.0270344, 77.6442411 13.0273521, 77.6442068 13.0272852, 77.644593 13.0266414))"
Madiwala Lake,"MULTIPOLYGON (((77.6115914 12.9026136, 77.6116544 12.9025666, 77.6118249 12.9023483, 77.6120258 12.9021579, 77.6122751 12.9019729, 77.6126919 12.9017535, 77.6131626 12.9016011, 77.6135012 12.9015377, 77.6138216 12.9015129, 77.6144147 12.9015195, 77.6149991 12.9015391, 77.6161203 12.9016855, 77.6163134 12.9017352, 77.6163456 12.9017169, 77.6163429 12.9016803, 77.6162061 12.9015678, 77.6155236 12.9011079, 77.6150603 12.9005185, 77.614118 12.8994854, 77.6140027 12.8994069, 77.6139222 12.8993886, 77.6137988 12.8993952, 77.6133107 12.8995141, 77.6132181 12.8995168, 77.6131672 12.8994971, 77.6131269 12.8994501, 77.6129834 12.8985677, 77.6129512 12.8983572, 77.612907 12.8982461, 77.6128453 12.898182, 77.6126495 12.8981128, 77.612443 12.8980945, 77.6122941 12.8980853, 77.6121882 12.8981075, 77.612109 12.8981376, 77.6120836 12.8981938, 77.6121752 12.8986318, 77.6124883 12.8996064, 77.612462 12.8999449, 77.6123488 12.9000219, 77.6118621 12.9000783, 77.6118068 12.900168, 77.6119252 12.9020172, 77.61187 12.9021429, 77.61147 12.9023019, 77.6114227 12.9023634, 77.611405 12.9024541, 77.611476 12.9025757, 77.6115283 12.9026202, 77.6115914 12.9026136)), ((77.6211803 12.91207, 77.6211092 12.9119066, 77.621073 12.911772, 77.6210743 12.9115772, 77.6210368 12.9111968, 77.6210073 12.9110844, 77.6209617 12.9109798, 77.6208007 12.9108151, 77.6207423 12.9107067, 77.6205414 12.9100829, 77.6204558 12.9093467, 77.6204818 12.9089259, 77.6205379 12.9086007, 77.6206961 12.9081092, 77.6206961 12.9079811, 77.6206532 12.907921, 77.6204333 12.9077641, 77.6202911 12.9076439, 77.6202214 12.9074818, 77.620208 12.9073589, 77.6201785 12.9072674, 77.6189339 12.9059736, 77.6187971 12.9057771, 77.6187106 12.9055383, 77.61825 12.9037326, 77.6182178 12.9035365, 77.6182285 12.9033378, 77.6183385 12.9029117, 77.6183411 12.902828, 77.6183277 12.9027862, 77.6182714 12.9027705, 77.6182017 12.9027705, 77.6178047 12.9028699, 77.6176035 12.902862, 77.617507 12.9028202, 77.6174399 12.9027339, 77.6172736 12.9023391, 77.6172074 12.9022341, 77.6171181 12.9021718, 77.6166728 12.9020123, 77.6160398 12.9018319, 77.6151305 12.9016855, 77.6143645 12.9016248, 77.6137059 12.9016465, 77.6131924 12.9017155, 77.6128017 12.9018388, 77.6123143 12.90206, 77.6119794 12.9023647, 77.6116759 12.9027025, 77.611649 12.9027627, 77.6116517 12.9027993, 77.6116839 12.9028149, 77.6126629 12.9026659, 77.6126857 12.9026829, 77.6127005 12.9027391, 77.612687 12.9027731, 77.6112413 12.9030136, 77.611177 12.9030293, 77.6111555 12.9030738, 77.6113433 12.9041235, 77.6113969 12.9043771, 77.611421 12.9044189, 77.6114599 12.9044385, 77.6115082 12.9044359, 77.6126026 12.9042686, 77.6126602 12.9042725, 77.6127005 12.9043039, 77.6127058 12.9043483, 77.6127139 12.9044542, 77.6133925 12.9061013, 77.6134568 12.9061955, 77.6135293 12.9062399, 77.6136821 12.9063445, 77.613776 12.9064412, 77.6140255 12.9068412, 77.6142293 12.9073981, 77.614291 12.9075419, 77.6143447 12.9075968, 77.6144144 12.9076439, 77.6144841 12.9077171, 77.6147389 12.9081798, 77.6148462 12.9082739, 77.6149964 12.908355, 77.6152003 12.9084282, 77.61527 12.9084465, 77.6153022 12.9084883, 77.6153237 12.9085563, 77.6153639 12.9087027, 77.6158118 12.9105249, 77.6160093 12.9115356, 77.6165736 12.9146923, 77.6165897 12.9147419, 77.6166272 12.9147812, 77.6167157 12.914789, 77.6167747 12.9147655, 77.6173568 12.9140674, 77.6179437 12.9134641, 77.6184538 12.9129406, 77.618596 12.9127602, 77.6186603 12.912687, 77.6188427 12.912572, 77.6194301 12.9123602, 77.6197761 12.9122897, 77.6201463 12.9123106, 77.6207105 12.9123996, 77.6209389 12.9124374, 77.6209724 12.9124308, 77.6209845 12.9124021, 77.6209939 12.9123171, 77.6210161 12.9122709, 77.6210502 12.9122125, 77.6210998 12.9121746, 77.6211534 12.912155, 77.6211762 12.9121302, 77.6211803 12.91207), (77.6125422 12.9038163, 77.6124939 12.9037771, 77.6124644 12.9037196, 77.6123974 12.9033535, 77.6124188 12.9033039, 77.6125047 12.9032463, 77.6126495 12.9032202, 77.6126924 12.9032019, 77.6127139 12.9031705, 77.6127139 12.9031182, 77.6127139 12.9030503, 77.6127326 12.9030084, 77.6127809 12.902998, 77.6128346 12.9030136, 77.6129875 12.9037326, 77.6129901 12.903832, 77.6129687 12.9038895, 77.6129284 12.9039156, 77.6128453 12.9039209, 77.6127622 12.9039, 77.6125422 12.9038163), (77.6159268 12.9048039, 77.6159805 12.9047307, 77.6161039 12.9047673, 77.6162702 12.904966, 77.6164472 12.9051124, 77.6165438 12.9053163, 77.6166886 12.9056144, 77.6166993 12.9058601, 77.6167154 12.9060327, 77.6167208 12.906268, 77.6166725 12.9063621, 77.6164955 12.9064562, 77.6163721 12.9064249, 77.6163614 12.9062314, 77.616415 12.9059856, 77.6164096 12.9056823, 77.6163185 12.9054523, 77.6160556 12.9051908, 77.6158947 12.9049294, 77.6159268 12.9048039), (77.6152519 12.9056788, 77.6152197 12.9052918, 77.6154236 12.9048631, 77.6155827 12.9047848, 77.6156989 12.9048282, 77.6157697 12.904995, 77.6156508 12.90523, 77.6155774 12.9054536, 77.6155578 12.9056329, 77.6156232 12.9057788, 77.6157351 12.9060382, 77.6159089 12.906308, 77.6160076 12.906445, 77.6160489 12.9065752, 77.6160318 12.9066922, 77.6159707 12.9067768, 77.6158708 12.9067942, 77.6157776 12.9067768, 77.6156489 12.9067036, 77.6155845 12.9065049, 77.6152519 12.9056788)))"
Iblur Lake,"POLYGON ((77.6660874 12.9223543, 77.6659824 12.9224762, 77.6658819 12.9225334, 77.6655956 12.9225916, 77.6655266 12.9226123, 77.6654984 12.9227692, 77.6655443 12.9228221, 77.6656431 12.9228666, 77.6657776 12.9228934, 77.6658157 12.9228973, 77.6663963 12.9229567, 77.6668257 12.9229273, 77.6674286 12.9229822, 77.6678737 12.9230095, 77.6679489 12.9229902, 77.6679902 12.9229437, 77.6680144 12.9228866, 77.6677237 12.9221541, 77.666929 12.921802, 77.6668386 12.9217663, 77.6661908 12.9215103, 77.6662064 12.9216185, 77.6662115 12.9217278, 77.6660874 12.9223543), (77.666803 12.9224628, 77.6667689 12.9224467, 77.6667467 12.922423, 77.6667323 12.9223822, 77.666736 12.9223463, 77.6667493 12.9223201, 77.666784 12.9222909, 77.6668156 12.9222816, 77.6668335 12.9222812, 77.6668654 12.922289, 77.666881 12.9222976, 77.6669043 12.9223203, 77.6669133 12.9223358, 77.6669214 12.9223784, 77.6669079 12.9224211, 77.6668776 12.9224514, 77.6668358 12.9224654, 77.666803 12.9224628))"
Benniganahalli Lake,"POLYGON ((77.664424 12.9961141, 77.6640524 12.9970119, 77.6640489 12.9971565, 77.6640811 12.9972349, 77.6644129 12.9974084, 77.6655993 12.99805, 77.6657807 12.9981379, 77.6660659 12.9982905, 77.6661035 12.9982068, 77.6663333 12.997675, 77.6664889 12.9975182, 77.6669374 12.9972401, 77.6671842 12.997112, 77.6674062 12.9970739, 77.6679803 12.9970059, 77.6682001 12.9969955, 77.6682592 12.9969327, 77.6682707 12.9968637, 77.6676369 12.9966453, 77.6668911 12.9964048, 77.6661515 12.9962104, 77.6656735 12.9960023, 77.6653471 12.9959961, 77.6648482 12.9959699, 77.6646172 12.9958997, 77.664424 12.9961141), (77.6651781 12.9969752, 77.6651518 12.9969266, 77.66514 12.9968143, 77.665163 12.9967462, 77.665205 12.996691, 77.6652687 12.9966479, 77.6653443 12.9966282, 77.6654236 12.996635, 77.665509 12.996678, 77.6655691 12.996753, 77.6655914 12.9968472, 77.6655739 12.9969338, 77.6655302 12.9969998, 77.665479 12.9970396, 77.6653875 12.9970687, 77.6652977 12.9970601, 77.6652473 12.9970382, 77.6651781 12.9969752))"
Puttenhalli Lake,"POLYGON ((77.5859523 12.8914831, 77.5859753 12.8915154, 77.5860502 12.8915498, 77.5861325 12.8915455, 77.5862131 12.8915189, 77.5863353 12.8914656, 77.5864805 12.8913871, 77.5866775 12.8912806, 77.5867868 12.8912302, 77.5868967 12.8911914, 77.5869601 12.8911774, 77.5869906 12.8911655, 77.5869987 12.8911476, 77.5870079 12.8911159, 77.587013 12.8910773, 77.5870221 12.8910456, 77.5870526 12.8910337, 77.587077 12.8910416, 77.5871073 12.8910917, 77.5871349 12.8911135, 77.5872428 12.8911107, 77.5873923 12.8911065, 77.5875407 12.8911169, 77.5876353 12.8911346, 77.5877331 12.8911752, 77.58791 12.8912649, 77.5880782 12.8913616, 77.5881674 12.8914037, 77.5882644 12.8914306, 77.588268 12.8913168, 77.5882623 12.8912509, 77.5882364 12.8911864, 77.5881832 12.8910673, 77.5881602 12.8910056, 77.5881599 12.8909395, 77.5882087 12.8906798, 77.5882128 12.890549, 77.5881908 12.8904203, 77.5881294 12.8902992, 77.5880786 12.8902457, 77.5880415 12.8901823, 77.5880008 12.8900534, 77.5879666 12.8899245, 77.58795 12.8897482, 77.587965 12.8895738, 77.5879833 12.8893993, 77.5880057 12.8893141, 77.5880145 12.8892698, 77.5880032 12.8892275, 77.587906 12.8892249, 77.5877962 12.8892387, 77.5875776 12.8892722, 77.5874022 12.8892918, 77.5872986 12.8893058, 77.5872452 12.8893301, 77.5871699 12.8894271, 77.5870967 12.8895539, 77.5869381 12.8898255, 77.5865873 12.8903655, 77.5862589 12.8909118, 77.5860942 12.8911734, 77.5859579 12.8913816, 77.5859393 12.8914474, 77.5859523 12.8914831), (77.5868306 12.8903692, 77.5868662 12.8902887, 77.5869245 12.8902429, 77.5869573 12.890236, 77.587027 12.8902401, 77.5870541 12.8902595, 77.587084 12.8902942, 77.5870982 12.8903428, 77.5870982 12.8903983, 77.5870911 12.890433, 77.5871082 12.8904621, 77.5870882 12.8904843, 77.5870427 12.890494, 77.5870028 12.8905107, 77.5869758 12.8905384, 77.5869502 12.8905537, 77.5869117 12.8905537, 77.5869032 12.8905135, 77.5869131 12.8904927, 77.5868576 12.8904718, 77.5868477 12.8904469, 77.5868306 12.8903692))"
Mathikere Lake,"MULTIPOLYGON (((77.5494191 13.032248, 77.5495747 13.0322375, 77.5496551 13.0322689, 77.5496793 13.0323342, 77.5496176 13.0325276, 77.549639 13.0326033, 77.5497115 13.032653, 77.5497758 13.0326504, 77.5501648 13.0324047, 77.5502533 13.0323629, 77.5503257 13.0322584, 77.5503391 13.0321147, 77.5502881 13.0320546, 77.5499985 13.0319866, 77.5498509 13.0320023, 77.5495613 13.032099, 77.5494888 13.0321069, 77.5493306 13.0320703, 77.5492313 13.0320807, 77.5491831 13.0321356, 77.5490811 13.0325067, 77.5490409 13.0326713, 77.549057 13.0326974, 77.5491267 13.0327026, 77.549226 13.0324387, 77.5494191 13.032248)), ((77.5520772 13.0340118, 77.5521496 13.0344325, 77.5522301 13.0344482, 77.5522542 13.0343228, 77.5523481 13.0340771, 77.5524688 13.0339386, 77.552501 13.0338289, 77.5524741 13.033727, 77.5523186 13.0336042, 77.5521952 13.0335911, 77.552053 13.033693, 77.5520316 13.0338603, 77.5520772 13.0340118)), ((77.5511716 13.0357619, 77.5512467 13.0356364, 77.5513755 13.0355476, 77.5514291 13.0355319, 77.5515632 13.0354274, 77.551574 13.0353176, 77.5514828 13.0352392, 77.5513218 13.035187, 77.5511985 13.0351922, 77.5511073 13.0352131, 77.5509777 13.0352476, 77.5508337 13.0351452, 77.5507371 13.034957, 77.5507318 13.0347584, 77.5507371 13.0346278, 77.5507103 13.0345128, 77.5504474 13.0343822, 77.55019 13.0342045, 77.5500505 13.0341261, 77.5499164 13.0341313, 77.5497286 13.0342619, 77.5495087 13.0344031, 77.5494497 13.0344971, 77.5493692 13.0346487, 77.5493263 13.0349048, 77.5493477 13.0349988, 77.5494022 13.0351183, 77.5495784 13.0351713, 77.5497984 13.0352445, 77.5500022 13.0353385, 77.5500934 13.0354535, 77.55019 13.0356155, 77.5502972 13.0359239, 77.5503723 13.0360389, 77.5505118 13.0361172, 77.5507103 13.0361329, 77.5508498 13.0360963, 77.5509678 13.036065, 77.5510375 13.0361329, 77.5511395 13.0362218, 77.5511448 13.0363211, 77.5510965 13.0364413, 77.5509785 13.036551, 77.5509356 13.0366346, 77.5510268 13.0366921, 77.5512092 13.0368385, 77.5513379 13.0369848, 77.5514452 13.0369796, 77.5515364 13.0368698, 77.5516491 13.0367392, 77.551751 13.0366399, 77.5519602 13.036551, 77.5522177 13.0362793, 77.5524216 13.0360336, 77.5524645 13.0358716, 77.5524162 13.0357357, 77.552266 13.0354953, 77.5521211 13.0354013, 77.5519978 13.0354222, 77.5519012 13.0355162, 77.5518637 13.0356626, 77.5518744 13.0357775, 77.5519388 13.0358925, 77.5519388 13.0359761, 77.5518046 13.0361016, 77.5516491 13.0361695, 77.5514828 13.0362218, 77.5512843 13.0361538, 77.5511797 13.0360166, 77.5511556 13.0359448, 77.5511716 13.0358664, 77.5511716 13.0357619), (77.5495409 13.0347584, 77.5495838 13.03468, 77.5497125 13.0346017, 77.5498627 13.0345442, 77.5499325 13.0345807, 77.5500344 13.03468, 77.5500344 13.0347898, 77.5499861 13.0349204, 77.5498413 13.0350041, 77.5496964 13.0350354, 77.5496428 13.0349884, 77.5495677 13.0348891, 77.5495409 13.0347584), (77.5510912 13.0354013, 77.5511019 13.0353438, 77.5511448 13.0353229, 77.5511931 13.0353751, 77.5512628 13.0354692, 77.5512628 13.0355476, 77.5511985 13.0355476, 77.5511234 13.0354953, 77.5510912 13.0354013), (77.551059 13.0365824, 77.5511287 13.036551, 77.5512521 13.0364308, 77.5513165 13.0363315, 77.5513969 13.0363158, 77.5515203 13.0364151, 77.5515954 13.0364726, 77.5516383 13.0365353, 77.5516169 13.0366294, 77.5514721 13.0366921, 77.5514667 13.0367862, 77.5513916 13.0368541, 77.5512092 13.0367914, 77.5511287 13.0367392, 77.5510483 13.0366242, 77.551059 13.0365824)))"
Anchepalya Lake,"POLYGON ((77.4769775 13.0521287, 77.4772383 13.0521068, 77.4774879 13.0521587, 77.4777486 13.0522598, 77.4782758 13.0526094, 77.4785618 13.0529782, 77.4786207 13.0531803, 77.4784749 13.0544123, 77.4783599 13.0546827, 77.4782337 13.0548767, 77.4782169 13.0549313, 77.4782842 13.0549723, 77.478388 13.0548931, 77.4785674 13.0545216, 77.4786123 13.0542511, 77.478716 13.0542074, 77.4789235 13.0541856, 77.4796862 13.0541992, 77.4797367 13.0541719, 77.4797788 13.0536912, 77.4799582 13.0531831, 77.4800956 13.053011, 77.480284 13.0528573, 77.4804881 13.0528186, 77.4806428 13.0527722, 77.4819514 13.0525906, 77.4819276 13.0517601, 77.4818721 13.0516983, 77.4818602 13.051621, 77.4819078 13.0515553, 77.4817967 13.0509874, 77.4810809 13.0506745, 77.4808153 13.0504698, 77.4805357 13.0501897, 77.4803652 13.0499019, 77.4801946 13.0491447, 77.4801352 13.0489941, 77.4801629 13.0489207, 77.4804445 13.0487739, 77.4806507 13.0485382, 77.4805595 13.0475995, 77.4805198 13.0475338, 77.4800083 13.0474643, 77.4799369 13.0474333, 77.4797664 13.0472595, 77.479576 13.0466259, 77.4796672 13.0460465, 77.4795443 13.0460156, 77.4793421 13.0462512, 77.4793777 13.0472402, 77.4793421 13.0473909, 77.4792905 13.0474527, 77.4781008 13.0476265, 77.4780532 13.0476922, 77.4782396 13.0483837, 77.4784696 13.0486193, 77.4784736 13.0487005, 77.4781881 13.0497281, 77.4781643 13.0500487, 77.4779462 13.0504621, 77.477962 13.0507016, 77.4779065 13.0509372, 77.4779184 13.0511651, 77.4777915 13.0516442, 77.4776765 13.0517523, 77.47751 13.0517948, 77.4772522 13.0517987, 77.4769298 13.0520057, 77.4769775 13.0521287), (77.4792588 13.0480368, 77.4793401 13.048033, 77.4794015 13.0480832, 77.4794055 13.0481218, 77.479346 13.0481701, 77.4792667 13.0481662, 77.479233 13.0481431, 77.479227 13.0480639, 77.4792588 13.0480368), (77.4799884 13.0487283, 77.4799646 13.0486955, 77.4799111 13.0486124, 77.4799587 13.0485468, 77.480036 13.048512, 77.480042 13.0484734, 77.4800003 13.0483111, 77.4800023 13.0481778, 77.4799646 13.0481083, 77.4799706 13.0480697, 77.4800023 13.0480407, 77.480042 13.0480426, 77.4801173 13.0482841, 77.4801927 13.0483806, 77.4802303 13.0486008, 77.4802065 13.0486762, 77.4801014 13.048738, 77.4799884 13.0487283), (77.4802664 13.0497657, 77.4803066 13.0499094, 77.4801806 13.0499904, 77.4801484 13.0499617, 77.4801081 13.049912, 77.4800599 13.0497187, 77.4801376 13.0496769, 77.4801779 13.0496952, 77.4802664 13.0497657), (77.4806475 13.0507618, 77.4806356 13.0507174, 77.4806951 13.0506131, 77.4807268 13.0505841, 77.4808399 13.0506247, 77.4808696 13.0507386, 77.4808557 13.0507773, 77.480822 13.0507985, 77.480709 13.0508101, 77.4806475 13.0507618))"
