name,sar_flood_freq_pct,risk_label,predicted_risk
Yelachenahalli Kere,12.114101875350611,0,0
Mylasandra Tank,11.147726652166083,0,0
Saul Kere,32.63870153919991,1,1
Gowdana Kere,5.073508975394882,0,0
Kowdenahalli Lake,31.840913832481863,1,1
Chelekere,11.486989799497035,0,0
Lingadeeranahalli Lake,7.372196039101379,0,0
Gantiganahalli Lake,67.90673854867453,1,1
Lalbagh Tank,57.37975820772364,1,1
Thalaghattapura Lake,15.583393031360584,0,0
Basavanapura Pond,11.295312453979504,0,0
Kammagondanahalli Lake,22.79840387955397,0,0
BEL Lake,5.2645652617677525,0,1
Hoodi Lake,36.54046569702688,1,1
Bhoganahalli Lake,26.578120741955463,1,0
Chikka Beguru Lake,2.4231301451435976,0,1
Sunkalpalya Lake,25.728565693758345,1,1
Mahadevapura Lake,48.10394109510117,1,1
Lakshmipura Lake,11.45852428461794,0,0
Bagalagunte Lake,13.721203545776238,0,0
Jakkur Lake,83.27748674341757,1,1
Basavanapura Kere,32.823670068499204,1,0
Avalahalli Lake,35.51023916077654,1,1
Andrahalli Lake,24.17274504770677,0,0
Chikka Bellanduru Lake,27.6462361547224,1,1
Vengayyana Lake,10.853043388423488,0,1
Kuppareddi Kere,17.917120956980057,0,0
Gubbalala Kere,10.366011964494032,0,0
Seetharampalya Lake,23.72254252457871,0,0
Mallasandra Lake,4.571275493552394,0,0
Somasundarapalya Lake,24.208266066935987,0,0
Kacharakanahalli Lake,10.488330149995624,0,0
Halasuru lake,89.70220411038603,1,1
