system:index,impervious_fraction,max_3day_rain_mm,name,peak_30min_intensity_mm,.geo
0,0.8309137961203499,58.109998618252575,Chikkabettahalli Lake,4.605000019073486,"{""type"":""Polygon"",""coordinates"":[[[77.55472093578341,13.093596639909542],[77.55420481678297,13.093525008423686],[77.55372978169663,13.093315815951634],[77.5533336438962,13.092985714534654],[77.55304793608622,13.092560980667269],[77.5528954002583,13.092075423556654],[77.5528881775379,13.091567693787637],[77.55302684197744,13.091078206661624],[77.55330035513515,13.090645925134936],[77.55368694496984,13.090305258435821],[77.55415583901815,13.09008332320886],[77.5546697138554,13.089997785162572],[77.5551876658712,13.090055452983709],[77.5556684669388,13.090251736410018],[77.55607384590773,13.090571011585064],[77.55637153479555,13.090987864622258],[77.55653783726196,13.09146911442],[77.55655951493262,13.0919764537525],[77.55643484139156,13.092469498444395],[77.5561737398764,13.092909001940004],[77.55579699363088,13.09325997939102],[77.55533459169511,13.093494492565897],[77.55482334176574,13.093593873866183],[77.55472093578341,13.093596639909542]]]}"
1,0.66084971877755,55.97499892022461,Panathur Chikka Kere,5.690000057220459,"{""type"":""Polygon"",""coordinates"":[[[77.70863691702442,12.933270167935097],[77.70812113169487,12.933198536455741],[77.70764640370797,12.932989344001163],[77.70725052198276,12.932659242607178],[77.70696499883839,12.932234508761127],[77.70681256157172,12.931748951663536],[77.70680534347242,12.931241221895165],[77.70694391823675,12.930751734757214],[77.70721725457109,12.930319453209739],[77.70760359451461,12.92997878648747],[77.70807218549416,12.92975685124221],[77.70858572820211,12.929671313188193],[77.70910334545454,12.929728981014579],[77.70958383576051,12.929925264457484],[77.70998895269803,12.930244539655286],[77.71028644913986,12.930661392714303],[77.71045264406847,12.931142642526115],[77.71047430767887,12.931649981860549],[77.71034971468586,12.932143026541633],[77.71008878192579,12.932582530017067],[77.70971227921532,12.932933507444833],[77.70925017620864,12.933168020600641],[77.70873925680094,12.933267401891992],[77.70863691702442,12.933270167935097]]]}"
2,0.6051101478461621,60.82999871019274,Chokkanahalli Lake,5.019999980926514,"{""type"":""Polygon"",""coordinates"":[[[77.62922109689285,13.086413116188046],[77.62870499293848,13.086341484702482],[77.62822997170001,13.08613229223121],[77.62783384544667,13.085802190815263],[77.62754814596374,13.085377456948832],[77.62739561458021,13.084891899838803],[77.62738839206818,13.084384170069814],[77.62752705246405,13.083894682943269],[77.62780055764837,13.083462401415646],[77.62818713621482,13.083121734715496],[77.62865601659698,13.082899799487715],[77.62916987645768,13.082814261441078],[77.62968781337813,13.082871929262451],[77.6301686004327,13.083068212689504],[77.63057396758597,13.08338748786557],[77.6308716477959,13.083804340903741],[77.63103794541317,13.084285590702114],[77.63105962244984,13.084792930034704],[77.63093495254091,13.08528597472611],[77.63067385863533,13.085725478220818],[77.63029712337143,13.08607645567079],[77.62983473491514,13.086310968844812],[77.62932349988981,13.086410350144694],[77.62922109689285,13.086413116188046]]]}"
3,0.4096569476697752,55.97499892022461,Panathuru Kere,5.690000057220459,"{""type"":""Polygon"",""coordinates"":[[[77.70685455116339,12.933415293850151],[77.7063387655338,12.933343662370794],[77.70586403727079,12.933134469916196],[77.70546815531534,12.932804368522188],[77.70518263200492,12.93237963467612],[77.70503019464965,12.931894077578518],[77.7050229765462,12.931386347810147],[77.70516155139114,12.93089686067221],[77.70543488788446,12.930464579124749],[77.70582122805268,12.9301239124025],[77.70628981930473,12.929901977157257],[77.7068033623113,12.929816439103245],[77.70732097986473,12.92987410692963],[77.70780147045014,12.930070390372519],[77.70820658762324,12.930389665570301],[77.7085040842381,12.930806518629296],[77.70867027926342,12.931287768441099],[77.70869194288645,12.931795107775528],[77.70856734982101,12.932288152456623],[77.70830641690921,12.932727655932075],[77.70792991397977,12.933078633359862],[77.70746781070432,12.933313146515687],[77.70695689099945,12.933412527807047],[77.70685455116339,12.933415293850151]]]}"
4,0.6012025833727642,70.2199983606115,Krishna Nagara Lake,5.464999675750732,"{""type"":""Polygon"",""coordinates"":[[[77.57974859667902,12.875834992444423],[77.57923292979643,12.875763360967397],[77.57875831082413,12.87555416851907],[77.57836252000082,12.875224067133315],[77.5780770624092,12.8747993332949],[77.57792466012982,12.874313776201971],[77.5779174436708,12.873806046433831],[77.57805598660201,12.873316559291611],[77.57832926016732,12.872884277736693],[77.57871551140421,12.872543611006133],[77.57918399480015,12.872321675754327],[77.57969741960859,12.872236137697538],[77.58021491802647,12.872293805525809],[77.58069529801803,12.872490088974654],[77.58110032193935,12.872809364180602],[77.58139775006643,12.873226217247424],[77.58156390682107,12.873707467064277],[77.5815855654402,12.8742148063994],[77.58146100104013,12.874707851076616],[77.58120012818488,12.87514735454483],[77.58082371192475,12.875498331964273],[77.58036171503231,12.875732845113259],[77.5798509129537,12.87583222640141],[77.57974859667902,12.875834992444423]]]}"
5,0.7640785022261963,70.2199983606115,Kalena Agrahara lake,5.464999675750732,"{""type"":""Polygon"",""coordinates"":[[[77.5897673039016,12.867371284416738],[77.58925165442508,12.867299652940055],[77.58877705147275,12.86709046049265],[77.58838127400767,12.866760359108104],[77.5880958260492,12.866335625270816],[77.58794342891127,12.865850068178572],[77.5879362126933,12.865342338410464],[77.58807475094655,12.864852851267617],[77.58834801528779,12.864420569711603],[77.58873425348904,12.864079902979821],[77.5892027210753,12.863857967727048],[77.58971612855812,12.863772429669854],[77.59023360951299,12.863830097498402],[77.59071397329359,12.86402638094812],[77.59111898354595,12.864345656155269],[77.59141640163402,12.864762509223242],[77.59158255277889,12.865243759040835],[77.59160421066456,12.865751098376064],[77.59147965046627,12.86624414305271],[77.59121878641416,12.866683646519856],[77.59084238285813,12.867034623938075],[77.59038040155946,12.867269137086053],[77.58986961672262,12.867368518373736],[77.5897673039016,12.867371284416738]]]}"
6,0.4018576155786536,70.43499897420406,Hemmigepura Kere,5.670000076293945,"{""type"":""Polygon"",""coordinates"":[[[77.48348887477314,12.87549244753921],[77.48297320859525,12.875420816062196],[77.48249859027155,12.87521162361391],[77.48210279998906,12.874881522228199],[77.48181734278745,12.874456788389834],[77.48166494071623,12.873971231296931],[77.48165772426697,12.873463501528791],[77.48179626700878,12.872974014386546],[77.48206954020065,12.872541732831582],[77.48245579090978,12.872201066100974],[77.48292427366563,12.871979130849128],[77.48343769777262,12.871893592792325],[77.48395519548349,12.871951260620605],[77.48443557481875,12.872147544069483],[77.48484059818665,12.872466819275482],[77.4851380259073,12.872883672342352],[77.48530418243483,12.873364922159233],[77.48532584102426,12.87387226149436],[77.4852012767943,12.874365306171553],[77.48494040429546,12.874804809639725],[77.48456398854967,12.875155787059118],[77.48410199228857,12.875390300208064],[77.483591190908,12.875489681496198],[77.48348887477314,12.87549244753921]]]}"
7,0.866041804910418,70.4099979000166,ITI Layout Lake,6.529999732971191,"{""type"":""Polygon"",""coordinates"":[[[77.63938366705452,12.904107186247764],[77.63886794193851,12.904035554769592],[77.63839326937017,12.903826362318188],[77.63799743385576,12.903496260928383],[77.63771194403571,12.903071527086212],[77.63755952455517,12.902585969990986],[77.63755230728972,12.902078240222732],[77.6376908658714,12.901588753082613],[77.63796417029656,12.901156471531358],[77.63835046514525,12.900815804804878],[77.6388190014337,12.900593869556294],[77.63933248420636,12.900508331500872],[77.63985004104818,12.900565999328213],[77.64033047527482,12.900762282774132],[77.64073554492673,12.901081557976074],[77.64103300664014,12.901498411039052],[77.64119918216268,12.901979660853426],[77.64122084323573,12.902487000188207],[77.6410962647782,12.90298004486733],[77.6408353624713,12.903419548339096],[77.64045890370863,12.903770525762638],[77.63999685464607,12.904005038914981],[77.63948599488367,12.904104420204707],[77.63938366705452,12.904107186247764]]]}"
8,0.8989052317203192,70.2199983606115,Jogi Kere,5.464999675750732,"{""type"":""Polygon"",""coordinates"":[[[77.5384474629139,12.864847835398818],[77.53793181862459,12.864776203922236],[77.53745722044637,12.864567011475106],[77.53706144696223,12.864236910090924],[77.53677600187451,12.86381217625397],[77.5366236062688,12.863326619161931],[77.53661639012266,12.862818889393836],[77.53675492698183,12.862329402250797],[77.53702818857421,12.861897120694456],[77.53741442289068,12.861556453962313],[77.53788288576548,12.861334518709253],[77.53839628808508,12.86124898065194],[77.53891376383577,12.861306648480568],[77.53939412278532,12.861502931930545],[77.53979912896418,12.861822207138053],[77.54009654406052,12.862239060206369],[77.54026269353362,12.862720310024182],[77.54028435120068,12.863227649359443],[77.54015979225458,12.863720694035917],[77.53989893082591,12.864160197502747],[77.53952253105585,12.8645111749206],[77.53906055440427,12.86474568806828],[77.53854977470569,12.864845069355821],[77.5384474629139,12.864847835398818]]]}"
9,0.1330360734674074,58.109998618252575,Sankey Tank,4.605000019073486,"{""type"":""Polygon"",""coordinates"":[[[77.57421476509407,13.011438402680671],[77.57369881763965,13.01136677119815],[77.5732239404385,13.011157578735054],[77.57282793429086,13.010827477329862],[77.57254232142074,13.010402743473412],[77.57238983626495,13.009917186369474],[77.57238261592039,13.009409456600789],[77.5725212342564,13.008919969468655],[77.57279465650612,13.00848768793131],[77.57318111786735,13.008147021220328],[77.57364985610262,13.007925085983986],[77.57416356018629,13.007839547933733],[77.57468134009427,13.007897215757563],[77.57516198139382,13.008093499192379],[77.57556722564777,13.008412774379092],[77.57586481559574,13.00882962742747],[77.57603106277512,13.009310877232426],[77.57605273321721,13.009818216565918],[77.5759281010874,13.010311261252266],[77.57566708633222,13.010750764737539],[77.57529046529237,13.011101742176637],[77.57482821704126,13.011336255341739],[77.57431713703885,13.011435636637444],[77.57421476509407,13.011438402680671]]]}"
