,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year
115,Abbigere Lake,0.2906080774095313,79.80999792739749,9.220000267028809,2020
277,Abbigere Lake,0.2463530090744993,58.779998514801264,8.269999504089355,2021
439,Abbigere Lake,0.2754890283286466,117.69999729841948,9.09000015258789,2022
601,Abbigere Lake,0.3983140341613764,58.109998618252575,4.605000019073486,2023
763,Abbigere Lake,0.4072872281641024,76.2749980604276,6.420000076293945,2024
925,Abbigere Lake,0.3419913552807692,97.92499818746,6.605000019073486,2025
59,Agara Lake,0.0288369378225608,76.81999846175313,7.144999980926514,2020
221,Agara Lake,0.0229417547308921,63.28999811597168,5.569999694824219,2021
383,Agara Lake,0.0221583927254853,97.71999745536596,8.40999984741211,2022
545,Agara Lake,0.0190249447038584,70.4099979000166,6.529999732971191,2023
707,Agara Lake,0.0246835831899729,84.55499797128141,7.349999904632568,2024
869,Agara Lake,0.0210831899729663,97.16499748453498,7.514999866485596,2025
10,Agrahara Lake,0.645747440482586,82.59999796561897,7.794999599456787,2020
172,Agrahara Lake,0.5370918970360251,64.42999852448702,4.339999675750732,2021
334,Agrahara Lake,0.4103148168045556,114.18499760236593,11.094999313354492,2022
496,Agrahara Lake,0.4349598612411549,60.82999871019274,5.019999980926514,2023
658,Agrahara Lake,0.5822959677047997,83.36999793257564,4.539999961853027,2024
820,Agrahara Lake,0.6264378578335815,101.86999773513526,4.84499979019165,2025
50,Akshaynagar Lake,0.9467213996233012,66.52499807905406,6.309999942779541,2020
212,Akshaynagar Lake,0.9490719261105084,78.96499759331346,5.670000076293945,2021
374,Akshaynagar Lake,0.9537729790849232,111.43999750632791,8.09999942779541,2022
536,Akshaynagar Lake,0.9381028025035412,63.59999836515635,4.654999732971191,2023
698,Akshaynagar Lake,0.9506389437686468,96.47499763779342,7.039999961853027,2024
860,Akshaynagar Lake,0.937319293674472,99.87499761022627,8.489999771118164,2025
130,Allalasandra Lake,0.1833243286386129,79.80999792739749,9.220000267028809,2020
292,Allalasandra Lake,0.1862651800734292,58.779998514801264,8.269999504089355,2021
454,Allalasandra Lake,0.1957661562641977,117.69999729841948,9.09000015258789,2022
616,Allalasandra Lake,0.1837203305541571,58.109998618252575,4.605000019073486,2023
778,Allalasandra Lake,0.1762454106754749,76.2749980604276,6.420000076293945,2024
940,Allalasandra Lake,0.1795024496862682,97.92499818746,6.605000019073486,2025
74,Ambalipura Lower Lake,0.6428128206230915,76.81999846175313,7.144999980926514,2020
236,Ambalipura Lower Lake,0.6090594646400727,63.28999811597168,5.569999694824219,2021
398,Ambalipura Lower Lake,0.6248548556543321,97.71999745536596,8.40999984741211,2022
560,Ambalipura Lower Lake,0.5951901160540397,70.4099979000166,6.529999732971191,2023
722,Ambalipura Lower Lake,0.6664813324404524,84.55499797128141,7.349999904632568,2024
884,Ambalipura Lower Lake,0.6120483630175279,97.16499748453498,7.514999866485596,2025
132,Ambalipura Upper Lake,0.4884217446332686,76.81999846175313,7.144999980926514,2020
294,Ambalipura Upper Lake,0.477083102935575,63.28999811597168,5.569999694824219,2021
456,Ambalipura Upper Lake,0.448099064892297,97.71999745536596,8.40999984741211,2022
618,Ambalipura Upper Lake,0.4211609589461916,70.4099979000166,6.529999732971191,2023
780,Ambalipura Upper Lake,0.484363672110198,84.55499797128141,7.349999904632568,2024
